"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","description.1","description.2","data_processing","data_processing.1","data_processing.2","data_processing.3","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","disease status:ch1","gender:ch1"
"GSM2859411","DZQV_CD8_naive_rep4","GSM2859411","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Naive CD8 T cells","Homo sapiens","cell type: Naive CD8 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 900000","total_rna_yield (ng): 321.78","DZQV_CD8_naive","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035215","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399186","NONE","Naive CD8 T cells","healthy","M"
"GSM2859412","DZQV_CD8_CM_rep4","GSM2859412","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Central memory CD8 T cell","Homo sapiens","cell type: Central memory CD8 T cell","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 324600","total_rna_yield (ng): 102.468","DZQV_CD8_CM","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035214","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399187","NONE","Central memory CD8 T cell","healthy","M"
"GSM2859413","DZQV_CD8_EM_rep4","GSM2859413","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Effector memory CD8 T cells","Homo sapiens","cell type: Effector memory CD8 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 1181147","total_rna_yield (ng): 488.508","DZQV_CD8_EM","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035213","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399188","NONE","Effector memory CD8 T cells","healthy","M"
"GSM2859414","DZQV_CD8_TE_rep4","GSM2859414","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Terminal effector CD8 T cells","Homo sapiens","cell type: Terminal effector CD8 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 1000000","total_rna_yield (ng): 274.26","DZQV_CD8_TE","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035212","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399189","NONE","Terminal effector CD8 T cells","healthy","M"
"GSM2859415","DZQV_MAIT_rep4","GSM2859415","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","MAIT cells","Homo sapiens","cell type: MAIT cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 900000","total_rna_yield (ng): 449.82","DZQV_MAIT","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035211","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399190","NONE","MAIT cells","healthy","M"
"GSM2859416","DZQV_VD2+_rep4","GSM2859416","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Vd2 gd T cells","Homo sapiens","cell type: Vd2 gd T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 900000","total_rna_yield (ng): 350.424","DZQV_VD2+","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035256","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399191","NONE","Vd2 gd T cells","healthy","M"
"GSM2859417","DZQV_VD2-_rep4","GSM2859417","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Non-Vd2 gd T cells","Homo sapiens","cell type: Non-Vd2 gd T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 1003272","total_rna_yield (ng): 240.156","DZQV_VD2-","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035255","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399192","NONE","Non-Vd2 gd T cells","healthy","M"
"GSM2859418","DZQV_TFH_rep4","GSM2859418","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Follicular helper T cells","Homo sapiens","cell type: Follicular helper T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 360352","total_rna_yield (ng): 61.668","DZQV_TFH","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035254","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399193","NONE","Follicular helper T cells","healthy","M"
"GSM2859419","DZQV_Treg_rep4","GSM2859419","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","T regulatory cells","Homo sapiens","cell type: T regulatory cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 170358","total_rna_yield (ng): 11.58","DZQV_Treg","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035253","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399194","NONE","T regulatory cells","healthy","M"
"GSM2859420","DZQV_Th1_rep4","GSM2859420","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Th1 cells","Homo sapiens","cell type: Th1 cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 450000","total_rna_yield (ng): 70.956","DZQV_Th1","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035252","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399195","NONE","Th1 cells","healthy","M"
