"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","extract_protocol_ch1.3","taxid_ch1","description","description.1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","antibodies:ch1","cell lineage:ch1","cell type:ch1","tissue:ch1"
"GSM3188494","myDC123.1","GSM3188494","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Myeloid DC CD123+","Homo sapiens","cell type: Myeloid DC CD123+","cell lineage: Dendritic Cell Lineage","antibodies: CD3:- CD14:- BDCA2:- BDCA1:+ CD123:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405267","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203005","NONE","CD3:- CD14:- BDCA2:- BDCA1:+ CD123:+","Dendritic Cell Lineage","Myeloid DC CD123+","Peripheral Blood"
"GSM3188495","myDC123.2","GSM3188495","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Myeloid DC CD123+","Homo sapiens","cell type: Myeloid DC CD123+","cell lineage: Dendritic Cell Lineage","antibodies: CD3:- CD14:- BDCA2:- BDCA1:+ CD123:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405266","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203006","NONE","CD3:- CD14:- BDCA2:- BDCA1:+ CD123:+","Dendritic Cell Lineage","Myeloid DC CD123+","Peripheral Blood"
"GSM3188496","MonoNonClassical.1","GSM3188496","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Non-classical monocyte","Homo sapiens","cell type: Non-classical monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Int BDCA1:- BDCA2:- CD123:Int","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405265","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203007","NONE","CD14:Int BDCA1:- BDCA2:- CD123:Int","Macrophage Lineage","Non-classical monocyte","Peripheral Blood"
"GSM3188497","CD4T.1","GSM3188497","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD4:+ T Cell","Homo sapiens","cell type: CD4:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD4+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405264","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203008","NONE","CD3:+ CD19:- CD56:- CD4+","T Cell Lineage","CD4:+ T Cell","Peripheral Blood"
"GSM3188498","CD8T.1","GSM3188498","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD8:+ T Cell","Homo sapiens","cell type: CD8:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD8+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405263","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203009","NONE","CD3:+ CD19:- CD56:- CD8+","T Cell Lineage","CD8:+ T Cell","Peripheral Blood"
"GSM3188499","Eo.1","GSM3188499","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Eosinophil","Homo sapiens","cell type: Eosinophil","cell lineage: Eosinophil Lineage","antibodies: Miltenyi Biotec Eosinophil Isolation Kit Negative","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405262","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203010","NONE","Miltenyi Biotec Eosinophil Isolation Kit Negative","Eosinophil Lineage","Eosinophil","Peripheral Blood"
"GSM3188500","MemB.1","GSM3188500","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Memory B Cell","Homo sapiens","cell type: Memory B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Int","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405261","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203011","NONE","CD3:- CD19:+ CD27:Int","B Cell Lineage","Memory B Cell","Peripheral Blood"
"GSM3188501","Mono.1","GSM3188501","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Monocyte","Homo sapiens","cell type: Monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Hi BDCA1:- BDCA2:- CD123:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405259","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203012","NONE","CD14:Hi BDCA1:- BDCA2:- CD123:Lo","Macrophage Lineage","Monocyte","Peripheral Blood"
"GSM3188502","NveB.1","GSM3188502","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Naive B Cell","Homo sapiens","cell type: Naive B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405258","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203013","NONE","CD3:- CD19:+ CD27:Lo","B Cell Lineage","Naive B Cell","Peripheral Blood"
"GSM3188503","Neut.1","GSM3188503","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Neutrophil","Homo sapiens","cell type: Neutrophil","cell lineage: Neutrophil Lineage","antibodies: Miltenyi Biotec Eosinophil Isolation Kit Positive","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405257","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203014","NONE","Miltenyi Biotec Eosinophil Isolation Kit Positive","Neutrophil Lineage","Neutrophil","Peripheral Blood"
