"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","treatment_protocol_ch1","treatment_protocol_ch1.1","molecule_ch1","extract_protocol_ch1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","donor:ch1","lineage:ch1","treatment:ch1"
"GSM3319890","1008-Monocytes-S","GSM3319890","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1008","cell type: Monocytes","lineage: MYELOID","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768392","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510741","NONE","Monocytes","1008","MYELOID","treatment2"
"GSM3319891","1009-Naive_B-S","GSM3319891","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1009","cell type: Naive_B","lineage: B","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768391","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510742","NONE","Naive_B","1009","B","treatment2"
"GSM3319892","1009-Naive_Teffs-S","GSM3319892","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1009","cell type: Naive_Teffs","lineage: CD4","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768390","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510743","NONE","Naive_Teffs","1009","CD4","treatment2"
"GSM3319893","1009-Naive_Tregs-S","GSM3319893","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1009","cell type: Naive_Tregs","lineage: CD4","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768389","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510744","NONE","Naive_Tregs","1009","CD4","treatment2"
"GSM3319894","1009-Mature_NK-S","GSM3319894","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1009","cell type: Mature_NK","lineage: NK","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768388","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510745","NONE","Mature_NK","1009","NK","treatment2"
"GSM3319895","1009-Monocytes-S","GSM3319895","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1009","cell type: Monocytes","lineage: MYELOID","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768425","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510746","NONE","Monocytes","1009","MYELOID","treatment2"
"GSM3319896","1010-Mem_B-U","GSM3319896","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1010","cell type: Mem_B","lineage: B","treatment: no_treament","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768424","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510747","NONE","Mem_B","1010","B","no_treament"
"GSM3319897","1010-Naive_B-U","GSM3319897","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1010","cell type: Naive_B","lineage: B","treatment: no_treament","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768423","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510748","NONE","Naive_B","1010","B","no_treament"
"GSM3319898","1010-Effector_CD4pos_T-U","GSM3319898","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1010","cell type: Effector_CD4pos_T","lineage: CD4","treatment: no_treament","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768422","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510749","NONE","Effector_CD4pos_T","1010","CD4","no_treament"
"GSM3319899","1010-Naive_Tregs-S","GSM3319899","Public on Sep 05 2018","Aug 06 2018","Sep 05 2018","SRA","1","primary blood","Homo sapiens","donor: 1010","cell type: Naive_Tregs","lineage: CD4","treatment: treatment2","Treatment 1: T lymphocytes were activated for 24 hours with dynabead conjugated CD3/CD28 antibodies at 1:1 ratio, supplemented with 50 unit/ml of human IL-2  or 300 unit/ml for regulatory T cells. B lymphocytes were activated for 24 hours with 10µg/ml  anti-IgG/IgM antibodies and 20ng/ml of human IL-4. Monocytes were activated with 1µg/ml of LPS for 24 hours. NK cells were activated with 200 unit/ml of human IL2 for 24 hours.","Treatment 2: Monocytes were activated with 100ng/ml of LPS for 6 hours. NK cells were activated with CD2 and CD355 coated beads at 1:2 cell to bead ratio supplemented with 500 unit/ml IL-2 for 48 hours.","polyA RNA","RNA sequencing libraries were prepared according to the Smart-seq2 protocol (Picelli et al. ,2014). Custom Nextera barcoded PCR primers (Buenrostro et al., 2015) were used for dual indexing. Amplified libraries were purified using AMPure XP beads (Beckman Coulter) using a 1:1 ratio.","9606","RNA_gene_abundance.txt.gz","Tn5 transposase adapters were trimmed with cutadapt version 1.13 with a minimum length of 20 and an overlap of 5 in paired-end mode.","RNA-seq reads were pseudoaligned using Kallisto version 0.43.0 (Bray et al., 2016). The Kallisto index was made with default parameters and the gencode v25lift37 fasta file (Harrow et al., 2012) and was run in quant mode with default parameters.","Gene abundances were computed using tximport version 1.2.0 (Soneson et al., 2015).","Genome_build: hg19","Supplementary_files_format_and_content: tab delimited file including gene abundance estimate for protein coding genes","GPL20301","Diego,,Calderon","dcal@stanford.edu","Stanford University","450 Serra Mall","Stanford","94305","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09768421","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4510750","NONE","Naive_Tregs","1010","CD4","treatment2"
