"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell subtype:ch1","cell type:ch1","donor id:ch1","group:ch1","tissue:ch1"
"GSM1717151","Donor 97 pDC","GSM1717151","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_pDC","Homo sapiens","group: Healthy controls","donor id: Donor 97","tissue: Blood","cell type: Dendritic cell","cell subtype: plasmacytoid dendritic cells (pDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_97-pDC_RP_1_1_CD123","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785017","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067701","NONE","plasmacytoid dendritic cells (pDC)","Dendritic cell","Donor 97","Healthy controls","Blood"
"GSM1717152","Donor 97 CD1c+ mDC","GSM1717152","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_CD1c+ mDC","Homo sapiens","group: Healthy controls","donor id: Donor 97","tissue: Blood","cell type: Dendritic cell","cell subtype: CD1c+ myleoid dendirtic cells (mDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_97-CD1c_RP_1_1_CD1c","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785018","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067702","NONE","CD1c+ myleoid dendirtic cells (mDC)","Dendritic cell","Donor 97","Healthy controls","Blood"
"GSM1717153","Donor 97 SLAN DC","GSM1717153","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_SLAN DC","Homo sapiens","group: Healthy controls","donor id: Donor 97","tissue: Blood","cell type: Dendritic cell","cell subtype: slan(+) Dendritic cells","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_97-SLAN_RP_1_1_MDC8","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785019","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067703","NONE","slan(+) Dendritic cells","Dendritic cell","Donor 97","Healthy controls","Blood"
"GSM1717154","Donor 97 CD14+ mono","GSM1717154","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_CD14+ mono","Homo sapiens","group: Healthy controls","donor id: Donor 97","tissue: Blood","cell type: Monocyte","cell subtype: CD14+ monocytes","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_97-CD14-Mo_RP_1_1_CD14","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785020","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067704","NONE","CD14+ monocytes","Monocyte","Donor 97","Healthy controls","Blood"
"GSM1717155","Donor 28 pDC","GSM1717155","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_pDC","Homo sapiens","group: Healthy controls","donor id: Donor 28","tissue: Blood","cell type: Dendritic cell","cell subtype: plasmacytoid dendritic cells (pDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_28-pDC_RP_1_1_CD123","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785021","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067705","NONE","plasmacytoid dendritic cells (pDC)","Dendritic cell","Donor 28","Healthy controls","Blood"
"GSM1717156","Donor 28 CD1c+ mDC","GSM1717156","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_CD1c+ mDC","Homo sapiens","group: Healthy controls","donor id: Donor 28","tissue: Blood","cell type: Dendritic cell","cell subtype: CD1c+ myleoid dendirtic cells (mDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_28-CD1c_RP_1_1_CD1c","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785022","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067706","NONE","CD1c+ myleoid dendirtic cells (mDC)","Dendritic cell","Donor 28","Healthy controls","Blood"
"GSM1717157","Donor 28 SLAN DC","GSM1717157","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_SLAN DC","Homo sapiens","group: Healthy controls","donor id: Donor 28","tissue: Blood","cell type: Dendritic cell","cell subtype: slan(+) Dendritic cells","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_28-SLAN_RP_1_1_MDC8","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785023","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067707","NONE","slan(+) Dendritic cells","Dendritic cell","Donor 28","Healthy controls","Blood"
"GSM1717158","Donor 28 CD14+ Mono","GSM1717158","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_CD14+ mono","Homo sapiens","group: Healthy controls","donor id: Donor 28","tissue: Blood","cell type: Monocyte","cell subtype: CD14+ monocytes","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_28-CD14-Mo_RP_1_1_CD14","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785024","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067708","NONE","CD14+ monocytes","Monocyte","Donor 28","Healthy controls","Blood"
"GSM1717159","Donor 36 pDC","GSM1717159","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_pDC","Homo sapiens","group: Healthy controls","donor id: Donor 36","tissue: Blood","cell type: Dendritic cell","cell subtype: plasmacytoid dendritic cells (pDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_D36-pDC_RP_1_1_CD123","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785025","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067709","NONE","plasmacytoid dendritic cells (pDC)","Dendritic cell","Donor 36","Healthy controls","Blood"
"GSM1717160","Donor 36 CD1c+ mDC","GSM1717160","Public on Dec 23 2015","Jun 22 2015","May 15 2019","SRA","1","Blood derived APC_CD1c+ mDC","Homo sapiens","group: Healthy controls","donor id: Donor 36","tissue: Blood","cell type: Dendritic cell","cell subtype: CD1c+ myleoid dendirtic cells (mDC)","total RNA","PBMC were isolated by Ficoll-Paque density gradient centrifugation (GE Healthcare, Chalfont St. Giles, United Kingdom) from healthy buffy coats obtained from the Australian Red Cross. PBMC were further separated into three populations by counter-current elutriation using Beckman J-6 M/E centrifuge equipped with a JE 5.0 rotor (Beckman Coulter, Pasedena, CA, USA). The three fractions were isolated at rates of 12 (small lymphocytes), 16 (large lymphocytes) and 20 (DC/Monocytes fractions) ml/min. dendritic cells and monocytes were islated from the large cell fraction. The large cell fraction was first stained with antibodies specific for the DC subsets, which included CD1c-APC (Miltenyi), CD141-VioBlue (Miltenyi), CD123-PE (BD BioSciences, Franklin Lakes, NJ, USA) and SLAN-FITC (Miltenyi), and labeled with anti-IgG beads (Miltenyi). DC were then isolated using an AutoMACS (Miltenyi) into positive and negative fractions. The positive fraction (DC enriched) was further sorted into four DC subsets: CD1c+ mDC, SLAN+ DC, CD141+ mDC and CD123+ pDC, using a FACSAria (BD BioSciences). The negative fraction (DC depleted/mono) was stained with anti-CD14-FITC and anti-CD16-PE (BD Biosciences) antibodies, labeled with IgG beads (Miltenyi) and a positive selection performed using an AutoMACS (Miltenyi) to obtain a bulk monocyte population. These cells were further sorted to obtain the CD14+CD16- (CD14+) and CD16+CD14lo (CD16+) monocyte subsets using a FACSAria. Cell populations with a purity ≥90% were used, as determined by flow cytometry (LSR II or FACSAria; BD Bioscience).","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","SM_D36-COK_RP_1_1_CD1c","Reads were trimmed for adaptors and quality using Trimmomatic","Reads were mapped against Human reference GRCh37using bowtie2","BAM files were converted to counts per gene using htseq-count counting reads mapping to exons","Genome_build: Ensembl GRCh37","Supplementary_files_format_and_content: CSV file containing raw read counts per gene","GPL16791","David,Richard,Powell","david.powell@monash.edu","Monash University","Wellington Road","Clayton","VIC","3800","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03785026","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1067710","NONE","CD1c+ myleoid dendirtic cells (mDC)","Dendritic cell","Donor 36","Healthy controls","Blood"
