"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","donorid:ch1","sample type:ch1"
"GSM1915627","SU048-Blast","GSM1915627","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","Blast","Homo sapiens","cell type: acute myeloid leukemia, blast cell","donorid: SU048","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202226","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363215","NONE","acute myeloid leukemia, blast cell","SU048","primary human leukemia cell from cryopreserved sample"
"GSM1915628","SU048-pHSC","GSM1915628","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","pHSC","Homo sapiens","cell type: acute myeloid leukemia, pre-leukemic hematopoietic stem cell","donorid: SU048","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202227","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363216","NONE","acute myeloid leukemia, pre-leukemic hematopoietic stem cell","SU048","primary human leukemia cell from cryopreserved sample"
"GSM1915629","SU070-Blast","GSM1915629","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","Blast","Homo sapiens","cell type: acute myeloid leukemia, blast cell","donorid: SU070","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202228","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363217","NONE","acute myeloid leukemia, blast cell","SU070","primary human leukemia cell from cryopreserved sample"
"GSM1915631","SU070-pHSC","GSM1915631","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","pHSC","Homo sapiens","cell type: acute myeloid leukemia, pre-leukemic hematopoietic stem cell","donorid: SU070","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202230","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363219","NONE","acute myeloid leukemia, pre-leukemic hematopoietic stem cell","SU070","primary human leukemia cell from cryopreserved sample"
"GSM1915632","SU209-Blast","GSM1915632","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","Blast","Homo sapiens","cell type: acute myeloid leukemia, blast cell","donorid: SU209","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202231","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363220","NONE","acute myeloid leukemia, blast cell","SU209","primary human leukemia cell from cryopreserved sample"
"GSM1915634","SU209-pHSC","GSM1915634","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","pHSC","Homo sapiens","cell type: acute myeloid leukemia, pre-leukemic hematopoietic stem cell","donorid: SU209","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202233","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363222","NONE","acute myeloid leukemia, pre-leukemic hematopoietic stem cell","SU209","primary human leukemia cell from cryopreserved sample"
"GSM1915635","SU351-Blast","GSM1915635","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","Blast","Homo sapiens","cell type: acute myeloid leukemia, blast cell","donorid: SU351","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202234","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363223","NONE","acute myeloid leukemia, blast cell","SU351","primary human leukemia cell from cryopreserved sample"
"GSM1915636","SU351-pHSC","GSM1915636","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","pHSC","Homo sapiens","cell type: acute myeloid leukemia, pre-leukemic hematopoietic stem cell","donorid: SU351","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202235","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363224","NONE","acute myeloid leukemia, pre-leukemic hematopoietic stem cell","SU351","primary human leukemia cell from cryopreserved sample"
"GSM1915643","SU484-Blast","GSM1915643","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","Blast","Homo sapiens","cell type: acute myeloid leukemia, blast cell","donorid: SU484","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202242","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363231","NONE","acute myeloid leukemia, blast cell","SU484","primary human leukemia cell from cryopreserved sample"
"GSM1915644","SU484-pHSC","GSM1915644","Public on Jun 01 2016","Oct 21 2015","May 15 2019","SRA","1","pHSC","Homo sapiens","cell type: acute myeloid leukemia, pre-leukemic hematopoietic stem cell","donorid: SU484","sample type: primary human leukemia cell from cryopreserved sample","total RNA","RNA was isolated from 1,000-100,000 FACS-purified cells using the Qiagen RNeasy Plus Micro Kit","5 ul of total RNA (300 pg – 80 ng) was used as input into the NuGen Ovation V2 cDNA synthesis kit. SPIA-amplified cDNA was sheared using a Covaris S2 sonicator as follows: 10% duty cycle, 5 intensity, 100 cycles/burst, 5 minutes, 120 ul volume. Sheared cDNA was purified and size selected using Ampure XP beads at a 0.9:1 beads:sample ratio. After cleanup, Illumina TruSeq adapters were ligated onto the cDNA using the NEB Next Ultra library prep kit per manufacturer instructions","9606","RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standard input parameters. Aligned reads were filtered for those reads that map uniquely to non-mitochondrial regions.","Duplicate reads (artifacts from amplification) were removed using PICARD MarkDuplicates.","Processed BAM files were analyzed for transcript counts using HTseq against the UCSC refGene transcriptome. Transcript counts were processed using DESeq2, normalizing for both library size and transcript GC content using Conditional Quantile Normalization (Hansen et al., 2012).","Genome_build: hg19","Supplementary_files_format_and_content: Count file is a tab-delimited text file where rows represent unique genes and columns represent unique samples.","GPL11154","Jason,Daniel,Buenrostro","jdbuenrostro@gmail.com","Broad Institute","415 Main Street","Cambridge","MA","02142","USA","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04202243","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1363232","NONE","acute myeloid leukemia, pre-leukemic hematopoietic stem cell","SU484","primary human leukemia cell from cryopreserved sample"
